Date,Time,Open,High,Low,Close,Volume,OI
2022-11-18,09:15:00,1.5,1.5,1.5,1.5,0,0
2022-11-21,09:15:00,1.5,1.5,1.5,1.5,0,0
2022-12-27,15:09:00,106.25,106.25,106.25,106.25,0,0
2022-12-27,15:12:00,106.25,106.25,106.25,106.25,0,0
2022-12-27,15:15:00,106.25,106.25,106.25,106.25,0,0
2022-12-27,15:18:00,106.25,106.25,63.75,63.75,50,50
2022-12-27,15:21:00,63.75,63.75,63.75,63.75,0,50
2022-12-27,15:24:00,63.75,63.75,63.75,63.75,0,50
2022-12-27,15:27:00,63.75,63.75,63.75,63.75,0,50
2022-12-28,14:57:00,45.0,45.0,45.0,45.0,0,50
2022-12-28,15:00:00,45.0,45.0,45.0,45.0,0,50
2022-12-28,15:03:00,45.0,45.0,45.0,45.0,0,50
2022-12-28,15:06:00,45.0,45.0,45.0,45.0,0,50
2022-12-28,15:09:00,45.0,45.0,45.0,45.0,0,50
2022-12-28,15:12:00,45.0,45.0,45.0,45.0,0,50
2022-12-28,15:15:00,45.0,45.0,45.0,45.0,0,50
2022-12-28,15:18:00,45.0,45.0,45.0,45.0,0,50
2022-12-28,15:21:00,45.0,45.0,45.0,45.0,0,50
2022-12-28,15:24:00,45.0,45.0,45.0,45.0,0,50
2022-12-28,15:27:00,45.0,45.0,45.0,45.0,0,50
2022-12-29,09:30:00,36.35,36.35,36.35,36.35,0,150
2022-12-29,09:33:00,36.35,36.35,36.35,36.35,50,100
2022-12-29,09:36:00,36.35,36.35,36.35,36.35,0,100
2022-12-29,09:39:00,36.35,36.35,36.35,36.35,0,100
2022-12-29,09:42:00,36.35,36.35,36.35,36.35,0,100
2022-12-29,09:45:00,36.35,36.35,36.35,36.35,0,100
2022-12-29,09:48:00,36.35,36.35,36.35,36.35,0,100
2022-12-29,09:51:00,36.35,36.35,36.35,36.35,0,100
2022-12-29,09:54:00,36.35,36.35,36.35,36.35,0,100
2022-12-29,09:57:00,36.35,36.35,36.35,36.35,0,100
2022-12-29,10:00:00,36.35,36.35,36.35,36.35,0,100
2022-12-29,10:03:00,36.35,36.35,27.7,31.75,2300,150
2022-12-29,10:06:00,31.75,31.75,29.85,30.0,400,2750
2022-12-29,10:09:00,30.0,30.0,30.0,30.0,50,2750
2022-12-29,10:12:00,30.0,30.0,30.0,30.0,0,2750
2022-12-29,10:15:00,30.0,30.0,30.0,30.0,0,2750
2022-12-29,10:18:00,30.0,30.0,30.0,30.0,0,2750
2022-12-29,10:21:00,30.0,30.0,30.0,30.0,50,2800
2022-12-29,10:24:00,30.0,30.0,30.0,30.0,0,2800
2022-12-29,10:27:00,32.0,32.0,30.2,30.2,850,2850
2022-12-29,10:30:00,30.2,30.2,30.2,30.2,0,2850
2022-12-29,10:33:00,30.2,30.2,30.2,30.2,0,2850
2022-12-29,10:36:00,30.2,30.2,30.2,30.2,0,2850
2022-12-29,10:39:00,30.2,30.3,30.2,30.3,200,2950
2022-12-29,10:42:00,30.3,30.3,30.3,30.3,0,2950
2022-12-29,10:45:00,30.3,30.3,30.3,30.3,0,2950
2022-12-29,10:48:00,30.3,30.3,30.3,30.3,0,2950
2022-12-29,10:51:00,30.3,30.3,30.3,30.3,0,2950
2022-12-29,10:54:00,30.3,30.3,30.3,30.3,0,2950
2022-12-29,10:57:00,30.3,31.0,30.2,30.2,150,2950
2022-12-29,11:00:00,30.2,31.1,30.2,31.1,100,3050
2022-12-29,11:03:00,31.1,31.1,31.1,31.1,0,3050
2022-12-29,11:06:00,31.1,31.1,31.1,31.1,0,3050
2022-12-29,11:09:00,31.1,31.1,31.1,31.1,0,3050
